# Selection   : all 
# Volume      : 7.500000e-05
# Time        	max(cloud:alpha)
0             	0.000000e+00
0.05          	3.999115e-02
0.0512195     	5.998673e-02
0.0526542     	5.998673e-02
0.0543452     	5.998673e-02
0.0563301     	5.998673e-02
0.0586286     	5.998673e-02
0.0613867     	5.998673e-02
0.0646044     	7.998230e-02
0.068144      	7.998230e-02
0.072126      	7.998230e-02
0.076108      	1.199735e-01
0.0808864     	9.997788e-02
0.0847091     	9.997788e-02
0.0885318     	9.997788e-02
0.0923546     	1.199735e-01
0.0961773     	1.199735e-01
0.1           	1.199735e-01
0.104545      	1.399690e-01
0.108678      	1.399690e-01
0.11281       	1.399690e-01
0.116942      	1.599646e-01
0.121074      	1.799602e-01
0.125207      	1.799602e-01
0.129339      	2.199513e-01
0.133471      	2.199513e-01
0.137603      	2.399469e-01
0.141736      	2.399469e-01
0.14449       	2.399469e-01
0.147245      	2.399469e-01
0.15          	2.599425e-01
0.153125      	2.599425e-01
0.156731      	2.599425e-01
0.161058      	2.799381e-01
0.164952      	2.799381e-01
0.168846      	2.799381e-01
0.17274       	2.999336e-01
0.176635      	2.999336e-01
0.180529      	2.799381e-01
0.184423      	2.799381e-01
0.188317      	2.999336e-01
0.192212      	3.199292e-01
0.196106      	2.999336e-01
0.2           	3.199292e-01
0.204545      	3.199292e-01
0.209596      	2.999336e-01
0.213636      	3.199292e-01
0.218182      	3.199292e-01
0.222727      	3.199292e-01
0.226623      	3.399248e-01
0.230519      	3.399248e-01
0.234416      	3.399248e-01
0.238312      	3.399248e-01
0.242208      	3.599204e-01
0.246104      	3.799159e-01
0.25          	3.199292e-01
0.254167      	3.399248e-01
0.25875       	3.399248e-01
0.262875      	3.599204e-01
0.267         	3.599204e-01
0.271714      	3.599204e-01
0.276429      	3.999115e-01
0.279796      	3.799159e-01
0.283837      	4.598983e-01
0.287878      	4.798938e-01
0.291918      	4.798938e-01
0.294612      	4.998894e-01
0.297306      	4.998894e-01
0.3           	5.398806e-01
0.303125      	5.598761e-01
0.306731      	5.398806e-01
0.310664      	5.798717e-01
0.313942      	5.798717e-01
0.317548      	5.798717e-01
0.321605      	5.598761e-01
0.325661      	5.598761e-01
0.329138      	5.598761e-01
0.33331       	5.398806e-01
0.337483      	4.998894e-01
0.341655      	4.998894e-01
0.345828      	5.198850e-01
0.35          	5.198850e-01
0.354545      	4.998894e-01
0.359091      	5.798717e-01
0.364205      	5.598761e-01
0.368679      	5.798717e-01
0.373153      	5.998673e-01
0.377628      	6.398584e-01
0.382102      	6.398584e-01
0.386577      	6.598540e-01
0.389933      	6.598540e-01
0.393288      	6.798496e-01
0.396644      	6.598540e-01
0.4           	6.598540e-01
0.403846      	6.998452e-01
0.408462      	6.998452e-01
0.413654      	6.798496e-01
0.417692      	6.998452e-01
0.422308      	7.198407e-01
0.426264      	6.998452e-01
0.43022       	6.798496e-01
0.434176      	7.798275e-01
0.438132      	6.798496e-01
0.442088      	6.798496e-01
0.446044      	7.198407e-01
0.45          	6.998452e-01
0.454545      	7.398363e-01
0.459091      	7.598319e-01
0.463182      	6.998452e-01
0.466864      	7.198407e-01
0.471006      	6.798496e-01
0.475148      	7.398363e-01
0.47929       	6.998452e-01
0.482741      	6.998452e-01
0.486193      	6.998452e-01
0.489645      	6.998452e-01
0.493097      	7.398363e-01
0.496548      	7.198407e-01
0.5           	7.398363e-01
0.503846      	7.198407e-01
