# Selection   : all 
# Volume      : 7.500000e-05
# Time        	max(cloud:alpha)
0             	0.000000e+00
0.05          	3.999115e-02
0.05025       	3.999115e-02
0.0505497     	3.999115e-02
0.050908      	3.999115e-02
0.0513349     	3.999115e-02
0.0518472     	3.999115e-02
0.0524567     	3.999115e-02
0.0531881     	3.999115e-02
0.054055      	3.999115e-02
0.055076      	3.999115e-02
0.0562902     	3.999115e-02
0.0577472     	5.998673e-02
0.0594373     	5.998673e-02
0.0610598     	5.998673e-02
0.0630068     	5.998673e-02
0.0651829     	5.998673e-02
0.067359      	5.998673e-02
0.069535      	5.998673e-02
0.0718785     	5.998673e-02
0.0740417     	5.998673e-02
0.0762049     	7.998230e-02
0.0783681     	7.998230e-02
0.0805313     	7.998230e-02
0.0826945     	5.998673e-02
0.0851667     	5.998673e-02
0.0872857     	5.998673e-02
0.0894048     	5.998673e-02
0.0915238     	5.998673e-02
0.0936429     	7.998230e-02
0.0957619     	7.998230e-02
0.097881      	9.997788e-02
0.1           	9.997788e-02
0.102083      	9.997788e-02
0.104479      	9.997788e-02
0.106755      	9.997788e-02
0.109158      	1.199735e-01
0.111307      	1.399690e-01
0.113344      	1.199735e-01
0.115635      	1.199735e-01
0.117656      	1.199735e-01
0.119813      	1.199735e-01
0.121825      	1.199735e-01
0.123838      	1.399690e-01
0.126018      	1.399690e-01
0.128198      	1.399690e-01
0.130015      	1.399690e-01
0.132013      	1.399690e-01
0.134012      	1.399690e-01
0.13601       	1.399690e-01
0.138009      	1.599646e-01
0.140007      	1.799602e-01
0.142006      	1.799602e-01
0.144004      	1.799602e-01
0.146003      	1.799602e-01
0.148001      	1.799602e-01
0.15          	1.799602e-01
0.151923      	1.799602e-01
0.153926      	1.799602e-01
0.156021      	1.799602e-01
0.158115      	1.999558e-01
0.160209      	1.999558e-01
0.162303      	1.999558e-01
0.164398      	2.199513e-01
0.166271      	2.199513e-01
0.168379      	2.199513e-01
0.170136      	2.199513e-01
0.172127      	2.199513e-01
0.174118      	2.199513e-01
0.176109      	2.199513e-01
0.1781        	2.199513e-01
0.18029       	2.199513e-01
0.182261      	2.199513e-01
0.184232      	2.199513e-01
0.186203      	2.199513e-01
0.188174      	2.199513e-01
0.190145      	2.399469e-01
0.192116      	2.599425e-01
0.194087      	2.599425e-01
0.196058      	2.599425e-01
0.198029      	2.599425e-01
0.2           	2.599425e-01
0.202174      	2.599425e-01
0.204348      	2.599425e-01
0.206522      	2.599425e-01
0.20881       	2.799381e-01
0.21087       	2.799381e-01
0.213043      	2.799381e-01
0.215217      	2.799381e-01
0.217391      	2.799381e-01
0.219565      	2.799381e-01
0.221739      	2.799381e-01
0.223758      	2.799381e-01
0.225945      	2.999336e-01
0.228131      	2.799381e-01
0.230318      	2.999336e-01
0.232505      	2.999336e-01
0.234692      	2.999336e-01
0.236879      	2.999336e-01
0.239066      	2.999336e-01
0.241253      	2.999336e-01
0.243439      	2.999336e-01
0.245626      	2.999336e-01
0.247813      	2.799381e-01
0.25          	2.999336e-01
0.252273      	3.199292e-01
0.254785      	3.399248e-01
0.257045      	3.199292e-01
0.259432      	3.599204e-01
0.261818      	3.599204e-01
0.263939      	3.599204e-01
0.266343      	3.599204e-01
0.268587      	3.399248e-01
0.271205      	3.599204e-01
0.273262      	3.599204e-01
0.275692      	3.599204e-01
0.277902      	3.599204e-01
0.279744      	3.599204e-01
0.281769      	3.599204e-01
